id,normalized_name,upt_id,ultg_id
MTU-GI-KHS-8ec4137f100d9d9f765b09cb,GI 150KV NEW NGANJUK,UPT-MDN,MTU-ULTG-UPT-MDN-MADIUN
MTU-GI-KHS-a96b369b281b59522af8f37e,GI KARANGKATES,UPT-MLG,MTU-ULTG-UPT-MLG-MALANG
MTU-GI-KHS-ceef28ec335e2111efb0ca7e,GI 150KV CARUBAN,UPT-MDN,MTU-ULTG-UPT-MDN-MADIUN
MTU-GI-UPT-BLI-GI-150KV-AMLAPURA,GI 150KV AMLAPURA,UPT-BLI,MTU-ULTG-UPT-BLI-BALI-SELATAN
MTU-GI-UPT-BLI-GI-150KV-ANTOSARI-8f2cb2ca5a8211c9,GI 150KV ANTOSARI,UPT-BLI,MTU-ULTG-UPT-BLI-BALI-UTARA
MTU-GI-UPT-BLI-GI-150KV-BATURITI-aaa495593e39029a,GI 150KV BATURITI,UPT-BLI,MTU-ULTG-UPT-BLI-BALI-UTARA
MTU-GI-UPT-BLI-GI-150KV-GIANYAR,GI 150KV GIANYAR,UPT-BLI,MTU-ULTG-UPT-BLI-BALI-SELATAN
MTU-GI-UPT-BLI-GI-150KV-GILIMANUK,GI 150KV GILIMANUK,UPT-BLI,MTU-ULTG-UPT-BLI-BALI-UTARA
MTU-GI-UPT-BLI-GI-150KV-KAPAL,GI 150KV KAPAL,UPT-BLI,MTU-ULTG-UPT-BLI-BALI-UTARA
MTU-GI-UPT-BLI-GI-150KV-KUBU-414505700c253af5,GI 150KV KUBU,UPT-BLI,MTU-ULTG-UPT-BLI-BALI-SELATAN
MTU-GI-UPT-BLI-GI-150KV-NEGARA,GI 150KV NEGARA,UPT-BLI,MTU-ULTG-UPT-BLI-BALI-UTARA
MTU-GI-UPT-BLI-GI-150KV-NUSADUA,GI 150KV NUSADUA,UPT-BLI,MTU-ULTG-UPT-BLI-BALI-SELATAN
MTU-GI-UPT-BLI-GI-150KV-PADANG-SAMBIAN-259c58a2990f0d0f,GI 150KV PADANG SAMBIAN,UPT-BLI,MTU-ULTG-UPT-BLI-BALI-SELATAN
MTU-GI-UPT-BLI-GI-150KV-PAYANGAN-d4a07fcc94285991,GI 150KV PAYANGAN,UPT-BLI,MTU-ULTG-UPT-BLI-BALI-UTARA
MTU-GI-UPT-BLI-GI-150KV-PEMARON,GI 150KV PEMARON,UPT-BLI,MTU-ULTG-UPT-BLI-BALI-UTARA
MTU-GI-UPT-BLI-GI-150KV-PEMECUTAN-KELOD-b5092250971ccdd1,GI 150KV PEMECUTAN KELOD,UPT-BLI,MTU-ULTG-UPT-BLI-BALI-SELATAN
MTU-GI-UPT-BLI-GI-150KV-PESANGGARAN-158430b58f6e60c7,GI 150KV PESANGGARAN,UPT-BLI,MTU-ULTG-UPT-BLI-BALI-SELATAN
MTU-GI-UPT-BLI-GI-150KV-SANUR-ad77a05028977661,GI 150KV SANUR,UPT-BLI,MTU-ULTG-UPT-BLI-BALI-SELATAN
MTU-GI-UPT-BLI-GIS-150KV-BANDARA-NGURAHRAI-698a45f5362b598a,GIS 150KV BANDARA NGURAHRAI,UPT-BLI,MTU-ULTG-UPT-BLI-BALI-SELATAN
MTU-GI-UPT-BLI-GIS-150KV-CELUKAN-BAWANG-7d99c16ec4ff74f3,GIS 150KV CELUKAN BAWANG,UPT-BLI,MTU-ULTG-UPT-BLI-BALI-UTARA
MTU-GI-UPT-BLI-GIS-150KV-PECATU-629ddec2e1597fbc,GIS 150KV PECATU,UPT-BLI,MTU-ULTG-UPT-BLI-BALI-SELATAN
MTU-GI-UPT-BLI-GIS-150KV-PESANGGARAN-97b6fd1c336eca8e,GIS 150KV PESANGGARAN,UPT-BLI,MTU-ULTG-UPT-BLI-BALI-SELATAN
MTU-GI-UPT-BLI-GIS-150KV-TANAH-LOT-5a23d470b99d10c3,GIS 150KV TANAH LOT,UPT-BLI,MTU-ULTG-UPT-BLI-BALI-UTARA
MTU-GI-UPT-GRS-GI-150KV-ALTAPRIMA-c82e95980ceddb9c,GI 150KV ALTAPRIMA,UPT-GRS,MTU-ULTG-UPT-GRS-GRESIK
MTU-GI-UPT-GRS-GI-150KV-BANGKALAN,GI 150KV BANGKALAN,UPT-GRS,MTU-ULTG-UPT-GRS-SAMPANG
MTU-GI-UPT-GRS-GI-150KV-BUNGAH-2a1753ca747a4a19,GI 150KV BUNGAH,UPT-GRS,MTU-ULTG-UPT-GRS-GRESIK
MTU-GI-UPT-GRS-GI-150KV-CERME,GI 150KV CERME,UPT-GRS,MTU-ULTG-UPT-GRS-GRESIK
MTU-GI-UPT-GRS-GI-150KV-GILITIMUR,GI 150KV GILITIMUR,UPT-GRS,MTU-ULTG-UPT-GRS-SAMPANG
MTU-GI-UPT-GRS-GI-150KV-GULUK-GULUK,GI 150KV GULUK GULUK,UPT-GRS,MTU-ULTG-UPT-GRS-SAMPANG
MTU-GI-UPT-GRS-GI-150KV-GULUK-GULUK-e667ca710e304e4c,GI 150KV GULUK-GULUK,UPT-GRS,MTU-ULTG-UPT-GRS-SAMPANG
MTU-GI-UPT-GRS-GI-150KV-MANYAR,GI 150KV MANYAR,UPT-GRS,MTU-ULTG-UPT-GRS-GRESIK
MTU-GI-UPT-GRS-GI-150KV-PAMEKASAN-d0863a4a6e059387,GI 150KV PAMEKASAN,UPT-GRS,MTU-ULTG-UPT-GRS-SAMPANG
MTU-GI-UPT-GRS-GI-150KV-PETROKIMIA,GI 150KV PETROKIMIA,UPT-GRS,MTU-ULTG-UPT-GRS-GRESIK
MTU-GI-UPT-GRS-GI-150KV-PLTU-GRESIK,GI 150KV PLTU GRESIK,UPT-GRS,MTU-ULTG-UPT-GRS-GRESIK
MTU-GI-UPT-GRS-GI-150KV-SAMBIKEREP-5e914dee41402ff4,GI 150KV SAMBIKEREP,UPT-GRS,MTU-ULTG-UPT-GRS-GRESIK
MTU-GI-UPT-GRS-GI-150KV-SAMPANG-567296a8598bf4bd,GI 150KV SAMPANG,UPT-GRS,MTU-ULTG-UPT-GRS-SAMPANG
MTU-GI-UPT-GRS-GI-150KV-SEGOROMADU-ef349984c3c145b4,GI 150KV SEGOROMADU,UPT-GRS,MTU-ULTG-UPT-GRS-GRESIK
