"gi_id","gi_name","upt_id","ultg_id","lat","lng","place_id","poi_title","poi_address","source_url","status"
"MTU-GI-UPT-GRS-GI-150KV-ALTAPRIMA-c82e95980ceddb9c","GI 150KV ALTAPRIMA","UPT-GRS","MTU-ULTG-UPT-GRS-GRESIK","-7.194514799999999","112.6368425","0x2dd7fff6883aa0bb:0x6605e219f76698b4","PT. PLN (Persero) GI Altaprima","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20ALTAPRIMA&hl=id&gl=id","candidate"
"MTU-GI-UPT-BLI-GI-150KV-AMLAPURA","GI 150KV AMLAPURA","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-UTARA","-8.4476697","115.5879473","0x2dd2061683c0ff3b:0xb4def6b4768a416e","Kantor PLN Gardu Induk Amlapura","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20AMLAPURA&hl=id&gl=id","candidate"
"MTU-GI-UPT-BLI-GI-150KV-ANTOSARI-8f2cb2ca5a8211c9","GI 150KV ANTOSARI","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-UTARA","-8.5159212","115.0146845","0x2dd231eef287c25b:0xcfaf13a01d4a8ec1","Gardu Induk Antosari","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20ANTOSARI&hl=id&gl=id","candidate"
"MTU-GI-UPT-SBY-GI-150KV-BABADAN-69125836f207c37f","GI 150KV BABADAN","UPT-SBY","ULTG-28V8Y3","-7.3890138","112.67552429999999","0x2dd7e3065c868d5d:0xfd882c0eaada0ddc","PLN GI Babadan","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20BABADAN&hl=id&gl=id","candidate"
"MTU-GI-UPT-MDN-GI-150KV-BABAT","GI 150KV BABAT","UPT-MDN","MTU-ULTG-UPT-MDN-BABAT","-7.1237357999999995","112.1465666","0x2e778c1c57d61c3b:0x1af6a1eb4b7c8c1f","Gardu Induk Babat","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20BABAT&hl=id&gl=id","candidate"
"MTU-GI-UPT-MLG-GI-150KV-BALONGBENDO-2a074d863d0c29fc","GI 150KV BALONGBENDO","UPT-MLG","MTU-ULTG-UPT-MLG-MOJOKERTO","-7.4132039","112.55843329999999","0x2e780911884b9015:0x840783802ac3f008","Gardu Induk Balongbendo","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20BALONGBENDO&hl=id&gl=id","candidate"
"MTU-GI-UPT-MLG-GI-150KV-BAMBE-1eb9390e7c3e7a3a","GI 150KV BAMBE","UPT-MLG","MTU-ULTG-UPT-MLG-KRIAN","-7.3426355","112.66455739999999","0x2dd7fd288a9434cd:0x962f96888ac8aa8d","PLN GI BAMBE","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20BAMBE&hl=id&gl=id","candidate"
"MTU-GI-UPT-MDN-GI-150KV-BANARAN-f8385c5552475aca","GI 150KV BANARAN","UPT-MDN","MTU-ULTG-UPT-MDN-KEDIRI","","","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20BANARAN&hl=id&gl=id","no_poi_match"
"MTU-GI-UPT-GRS-GI-150KV-BANGKALAN","GI 150KV BANGKALAN","UPT-GRS","MTU-ULTG-UPT-GRS-SAMPANG","-7.0572488","112.7928372","0x2dd805240d0e247b:0xd88f484a01accd74","PT. PLN (Persero) Gardu Induk 15000kV Bangkalan","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20BANGKALAN&hl=id&gl=id","candidate"
"MTU-GI-UPT-PBG-GI-150KV-BANYUWANGI","GI 150KV BANYUWANGI","UPT-PBG","MTU-ULTG-UPT-PBG-JEMBER","-8.1892259","114.35637919999999","0x2dd14572e2306e2f:0x59a73b908ef3c77","Gardu Induk Banyuwangi","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20BANYUWANGI&hl=id&gl=id","candidate"
"MTU-GI-UPT-BLI-GI-150KV-BATURITI-aaa495593e39029a","GI 150KV BATURITI","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-UTARA","","","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20BATURITI&hl=id&gl=id","no_poi_match"
