"gi_id","gi_name","lat","lng","poi_title","url","status"
"MTU-GI-KHS-8ec4137f100d9d9f765b09cb","GI 150KV NEW NGANJUK","","","","https://www.google.com/search?tbm=map&q=GI%20NEW%20NGANJUK&hl=id&gl=id","none"
"MTU-GI-KHS-ceef28ec335e2111efb0ca7e","GI 150KV CARUBAN","","","","https://www.google.com/search?tbm=map&q=GI%20CARUBAN&hl=id&gl=id","none"
"MTU-GI-UPT-BLI-GI-150KV-BATURITI-aaa495593e39029a","GI 150KV BATURITI","-8.2575559","115.16160029999999","Gardu Induk Baturiti","https://www.google.com/search?tbm=map&q=GI%20BATURITI&hl=id&gl=id","candidate"
"MTU-GI-UPT-BLI-GI-150KV-KAPAL","GI 150KV KAPAL","-7.3227499","112.70989759999999","Penyebrangan Tambangan Perahu Kedurus-Pagesangan I","https://www.google.com/search?tbm=map&q=GI%20KAPAL&hl=id&gl=id","candidate"
"MTU-GI-UPT-BLI-GI-150KV-SANUR-ad77a05028977661","GI 150KV SANUR","-8.674476","115.25372739999999","Gardu Induk Sanur","https://www.google.com/search?tbm=map&q=GI%20SANUR&hl=id&gl=id","candidate"
"MTU-GI-UPT-BLI-GIS-150KV-CELUKAN-BAWANG-7d99c16ec4ff74f3","GIS 150KV CELUKAN BAWANG","","","","https://www.google.com/search?tbm=map&q=GI%20CELUKAN%20BAWANG&hl=id&gl=id","none"
"MTU-GI-UPT-GRS-GI-150KV-PLTU-GRESIK","GI 150KV PLTU GRESIK","-7.1682898999999995","112.6613587","GI PLTU Gresik","https://www.google.com/search?tbm=map&q=GI%20PLTU%20GRESIK&hl=id&gl=id","candidate"
"MTU-GI-UPT-GRS-GI-70KV-BARATA-b7a6cc1310843034","GI 70KV BARATA","","","","https://www.google.com/search?tbm=map&q=GI%20BARATA&hl=id&gl=id","none"
"MTU-GI-UPT-GRS-GI-70KV-MASPIONSBM-6e6b4f3e7e608ac4","GI 70KV MASPIONSBM","","","","https://www.google.com/search?tbm=map&q=GI%20MASPIONSBM&hl=id&gl=id","none"
"MTU-GI-UPT-GRS-GIS-150KV-GRESIK-cef86f1f6e699c73","GIS 150KV GRESIK","","","","https://www.google.com/search?tbm=map&q=GI%20GRESIK&hl=id&gl=id","none"
"MTU-GI-UPT-GRS-GISTET-500KV-GRESIK-244d032dca4d67ea","GISTET 500KV GRESIK","","","","https://www.google.com/search?tbm=map&q=GI%20GRESIK&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-150KV-KEDIRI","GI 150KV KEDIRI","-7.836843","112.03212769999999","GI Banaran","https://www.google.com/search?tbm=map&q=GI%20KEDIRI&hl=id&gl=id","candidate"
"MTU-GI-UPT-MDN-GI-150KV-NEWPACITAN-88f1d4b208729db7","GI 150KV NEWPACITAN","-8.1833567","111.1132916","PT PLN (Persero) GI New Pacitan","https://www.google.com/search?tbm=map&q=GI%20NEWPACITAN&hl=id&gl=id","candidate"
"MTU-GI-UPT-MDN-GI-150KV-NEWPONOROGO-10277bd25a02c7c9","GI 150KV NEWPONOROGO","","","","https://www.google.com/search?tbm=map&q=GI%20NEWPONOROGO&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-150KV-NEWTULUNGAGUNG-fa4ed2495a6e2db5","GI 150KV NEWTULUNGAGUNG","","","","https://www.google.com/search?tbm=map&q=GI%20NEWTULUNGAGUNG&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-150KV-NGANJUK-II-7a4a9613f006aa6e","GI 150KV NGANJUK II","-7.6418227","111.87027359999999","Gardu Induk 150 kV Nganjuk II","https://www.google.com/search?tbm=map&q=GI%20NGANJUK%20II&hl=id&gl=id","candidate"
"MTU-GI-UPT-MDN-GI-150KV-PACIRAN-530b7eff2f3e07db","GI 150KV PACIRAN","-6.8907780999999995","112.43425309999999","GI Paciran","https://www.google.com/search?tbm=map&q=GI%20PACIRAN&hl=id&gl=id","candidate"
"MTU-GI-UPT-MDN-GI-150KV-SURYAZIGZAG","GI 150KV SURYAZIGZAG","","","","https://www.google.com/search?tbm=map&q=GI%20SURYAZIGZAG&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-150KV-TANJUNG-AWAR-AWAR-3a041f23e60f359c","GI 150KV TANJUNG AWAR AWAR","","","","https://www.google.com/search?tbm=map&q=GI%20TANJUNG%20AWAR%20AWAR&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-30KV-DOLOPO-7275c9c1a2e6e566","GI 30KV DOLOPO","-7.747163","111.528364","PT. PLN Gardu Induk 70 Kv Dolopo","https://www.google.com/search?tbm=map&q=GI%20DOLOPO&hl=id&gl=id","candidate"
"MTU-GI-UPT-MDN-GI-30KV-GIRINGAN-68577853a06f25b1","GI 30KV GIRINGAN","","","","https://www.google.com/search?tbm=map&q=GI%20GIRINGAN&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-30KV-GOLANG-2ecad890eef979aa","GI 30KV GOLANG","-7.196262399999999","111.51658189999999","Golang galing lek go","https://www.google.com/search?tbm=map&q=GI%20GOLANG&hl=id&gl=id","candidate"
"MTU-GI-UPT-MDN-GI-30KV-NGEBEL-0c5a6f22605afa40","GI 30KV NGEBEL","","","","https://www.google.com/search?tbm=map&q=GI%20NGEBEL&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-30KV-TULUNGAGUNG-903d8d0c76afa936","GI 30KV TULUNGAGUNG","","","","https://www.google.com/search?tbm=map&q=GI%20TULUNGAGUNG&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-70KV-BLITAR-BARU","GI 70KV BLITAR BARU","-8.095462699999999","112.16090559999999","Blitar","https://www.google.com/search?tbm=map&q=GI%20BLITAR%20BARU&hl=id&gl=id","candidate"
"MTU-GI-UPT-MDN-GI-70KV-CARUBAN-bafc995256555b9c","GI 70KV CARUBAN","","","","https://www.google.com/search?tbm=map&q=GI%20CARUBAN&hl=id&gl=id","none"
