"gi_id","gi_name","upt_id","ultg_id","lat","lng","exact_map_url","provenance_source_url","verification_status"
"MTU-GI-KHS-8ec4137f100d9d9f765b09cb","GI 150KV NEW NGANJUK","UPT-MDN","MTU-ULTG-UPT-MDN-MADIUN","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20NEW%20NGANJUK&hl=id&gl=id","unverified"
"MTU-GI-KHS-a96b369b281b59522af8f37e","GI KARANGKATES","UPT-MLG","MTU-ULTG-UPT-MLG-MALANG","-8.160503","112.4426185","https://www.google.com/maps/search/?api=1&query=-8.160503,112.4426185","https://www.google.com/search?tbm=map&q=PLN%20GI%20GI%20KARANGKATES&hl=id&gl=id","verified_candidate_second_pass"
"MTU-GI-KHS-ceef28ec335e2111efb0ca7e","GI 150KV CARUBAN","UPT-MDN","MTU-ULTG-UPT-MDN-MADIUN","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20CARUBAN&hl=id&gl=id","unverified"
"MTU-GI-UPT-BLI-GI-150KV-AMLAPURA","GI 150KV AMLAPURA","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-SELATAN","-8.4476697","115.5879473","https://www.google.com/maps/search/?api=1&query=-8.4476697,115.5879473","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20AMLAPURA&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-BLI-GI-150KV-ANTOSARI-8f2cb2ca5a8211c9","GI 150KV ANTOSARI","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-UTARA","-8.5159212","115.0146845","https://www.google.com/maps/search/?api=1&query=-8.5159212,115.0146845","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20ANTOSARI&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-BLI-GI-150KV-BATURITI-aaa495593e39029a","GI 150KV BATURITI","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-UTARA","-8.2575559","115.1616003","https://www.google.com/maps/search/?api=1&query=-8.2575559,115.1616003","https://www.google.com/search?tbm=map&q=GI%20BATURITI&hl=id&gl=id","verified_candidate_final"
"MTU-GI-UPT-BLI-GI-150KV-GIANYAR","GI 150KV GIANYAR","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-SELATAN","-8.5615195","115.3349776","https://www.google.com/maps/search/?api=1&query=-8.5615195,115.3349776","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20GIANYAR&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-BLI-GI-150KV-GILIMANUK","GI 150KV GILIMANUK","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-UTARA","-8.1746641","114.4411515","https://www.google.com/maps/search/?api=1&query=-8.1746641,114.4411515","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20GILIMANUK&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-BLI-GI-150KV-KAPAL","GI 150KV KAPAL","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-UTARA","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20KAPAL&hl=id&gl=id","unverified"
"MTU-GI-UPT-BLI-GI-150KV-KUBU-414505700c253af5","GI 150KV KUBU","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-SELATAN","-8.2036731","115.4971607","https://www.google.com/maps/search/?api=1&query=-8.2036731,115.4971607","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20KUBU&hl=id&gl=id","verified_candidate"
