"gi_id","gi_name","lat","lng","place_id","poi_title","url","status"
"MTU-GI-KHS-8ec4137f100d9d9f765b09cb","GI 150KV NEW NGANJUK","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20NEW%20NGANJUK&hl=id&gl=id","none"
"MTU-GI-KHS-a96b369b281b59522af8f37e","GI KARANGKATES","-8.160503","112.4426185","0x2e78981737a05cff:0x65c9dde2e5c2691c","PLN GI KARANGKATES / GI SUTAMI","https://www.google.com/search?tbm=map&q=PLN%20GI%20GI%20KARANGKATES&hl=id&gl=id","candidate"
"MTU-GI-KHS-ceef28ec335e2111efb0ca7e","GI 150KV CARUBAN","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20CARUBAN&hl=id&gl=id","none"
"MTU-GI-UPT-BLI-GI-150KV-BATURITI-aaa495593e39029a","GI 150KV BATURITI","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20BATURITI&hl=id&gl=id","none"
"MTU-GI-UPT-BLI-GI-150KV-KAPAL","GI 150KV KAPAL","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20KAPAL&hl=id&gl=id","none"
"MTU-GI-UPT-BLI-GI-150KV-SANUR-ad77a05028977661","GI 150KV SANUR","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20SANUR&hl=id&gl=id","none"
"MTU-GI-UPT-BLI-GIS-150KV-CELUKAN-BAWANG-7d99c16ec4ff74f3","GIS 150KV CELUKAN BAWANG","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20CELUKAN%20BAWANG&hl=id&gl=id","none"
"MTU-GI-UPT-GRS-GI-150KV-PLTU-GRESIK","GI 150KV PLTU GRESIK","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20PLTU%20GRESIK&hl=id&gl=id","none"
"MTU-GI-UPT-GRS-GI-70KV-BARATA-b7a6cc1310843034","GI 70KV BARATA","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20BARATA&hl=id&gl=id","none"
"MTU-GI-UPT-GRS-GI-70KV-MASPIONSBM-6e6b4f3e7e608ac4","GI 70KV MASPIONSBM","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20MASPIONSBM&hl=id&gl=id","none"
"MTU-GI-UPT-GRS-GIS-150KV-GRESIK-cef86f1f6e699c73","GIS 150KV GRESIK","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20GRESIK&hl=id&gl=id","none"
"MTU-GI-UPT-GRS-GISTET-500KV-GRESIK-244d032dca4d67ea","GISTET 500KV GRESIK","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20GRESIK&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-150KV-BANARAN-f8385c5552475aca","GI 150KV BANARAN","-7.836843","112.03212769999999","0x2e78579c79afd56d:0x2ec604a75ab66f04","GI Banaran","https://www.google.com/search?tbm=map&q=PLN%20GI%20BANARAN&hl=id&gl=id","candidate"
"MTU-GI-UPT-MDN-GI-150KV-BOJONEGORO-f6abd84f112ba707","GI 150KV BOJONEGORO","-7.1760831","111.86714819999999","0x2e7781d05fcd7ccb:0x9571439cafcf96c0","PT PLN ( Persero ) GI Bojonegoro","https://www.google.com/search?tbm=map&q=PLN%20GI%20BOJONEGORO&hl=id&gl=id","candidate"
"MTU-GI-UPT-MDN-GI-150KV-KEDIRI","GI 150KV KEDIRI","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20KEDIRI&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-150KV-NEWPACITAN-88f1d4b208729db7","GI 150KV NEWPACITAN","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20NEWPACITAN&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-150KV-NEWPONOROGO-10277bd25a02c7c9","GI 150KV NEWPONOROGO","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20NEWPONOROGO&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-150KV-NEWTULUNGAGUNG-fa4ed2495a6e2db5","GI 150KV NEWTULUNGAGUNG","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20NEWTULUNGAGUNG&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-150KV-NGANJUK-II-7a4a9613f006aa6e","GI 150KV NGANJUK II","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20NGANJUK%20II&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-150KV-PACIRAN-530b7eff2f3e07db","GI 150KV PACIRAN","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20PACIRAN&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-150KV-SURYAZIGZAG","GI 150KV SURYAZIGZAG","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20SURYAZIGZAG&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-150KV-TANJUNG-AWAR-AWAR-3a041f23e60f359c","GI 150KV TANJUNG AWAR AWAR","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20TANJUNG%20AWAR%20AWAR&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-30KV-DOLOPO-7275c9c1a2e6e566","GI 30KV DOLOPO","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20DOLOPO&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-30KV-GIRINGAN-68577853a06f25b1","GI 30KV GIRINGAN","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20GIRINGAN&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-30KV-GOLANG-2ecad890eef979aa","GI 30KV GOLANG","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20GOLANG&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-30KV-NGEBEL-0c5a6f22605afa40","GI 30KV NGEBEL","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20NGEBEL&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-30KV-TULUNGAGUNG-903d8d0c76afa936","GI 30KV TULUNGAGUNG","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20TULUNGAGUNG&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-70KV-BANARAN","GI 70KV BANARAN","-7.836843","112.03212769999999","0x2e78579c79afd56d:0x2ec604a75ab66f04","GI Banaran","https://www.google.com/search?tbm=map&q=PLN%20GI%20BANARAN&hl=id&gl=id","candidate"
"MTU-GI-UPT-MDN-GI-70KV-BLITAR-BARU","GI 70KV BLITAR BARU","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20BLITAR%20BARU&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-70KV-CARUBAN-bafc995256555b9c","GI 70KV CARUBAN","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20CARUBAN&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-70KV-DOLOPO","GI 70KV DOLOPO","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20DOLOPO&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-70KV-GUDANGGARAM-6409d92e40cd308b","GI 70KV GUDANGGARAM","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20GUDANGGARAM&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-70KV-MRANGGEN","GI 70KV MRANGGEN","-7.036654599999999","110.5136824","0x2e708de4aca90e7b:0xff0459127955296c","PT. PLN (Persero) GI Mranggen","https://www.google.com/search?tbm=map&q=PLN%20GI%20MRANGGEN&hl=id&gl=id","candidate"
"MTU-GI-UPT-MDN-GI-70KV-PACITAN-052586919e420f0a","GI 70KV PACITAN","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20PACITAN&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-70KV-PLTA-TULUNGAGUNG-0652fdd655039227","GI 70KV PLTA TULUNGAGUNG","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20PLTA%20TULUNGAGUNG&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-70KV-PONOROGO","GI 70KV PONOROGO","-7.869963299999999","111.4929064","0x2e79a03749b8dfe9:0x3af2630c6cea1874","PT. PLN Persero Gardu Induk Ponorogo","https://www.google.com/search?tbm=map&q=PLN%20GI%20PONOROGO&hl=id&gl=id","candidate"
"MTU-GI-UPT-MDN-GI-70KV-TRENGGALEK","GI 70KV TRENGGALEK","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20TRENGGALEK&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-70KV-TULUNGAGUNG","GI 70KV TULUNGAGUNG","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20TULUNGAGUNG&hl=id&gl=id","none"
